zip,zip_type,primary_city,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,City,CriteriaID,State,StateAbrv,DMARegion,DMARegionCode
01225,STANDARD,Cheshire,BerkshireCounty,America/New_York,413,42.55,-73.15,NA,US,0,2990,Cheshire,1018159,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01226,STANDARD,Dalton,BerkshireCounty,America/New_York,413,42.47,-73.16,NA,US,0,5793,Dalton,1018173,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01227,POBOX,Dalton,BerkshireCounty,America/New_York,413,42.47,-73.16,NA,US,0,0,Dalton,1018173,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01230,STANDARD,GreatBarrington,BerkshireCounty,America/New_York,413,42.19,-73.35,NA,US,0,5873,GreatBarrington,1018220,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01235,STANDARD,Hinsdale,BerkshireCounty,America/New_York,413,42.42,-73.07,NA,US,0,2476,Hinsdale,1018241,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01236,STANDARD,Housatonic,BerkshireCounty,America/New_York,413,42.25,-73.36,NA,US,0,1486,Housatonic,1018249,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01238,STANDARD,Lee,BerkshireCounty,America/New_York,413,42.3,-73.25,NA,US,0,5056,Lee,1018266,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01238,STANDARD,Lee,BerkshireCounty,America/New_York,413,42.3,-73.25,NA,US,0,5056,Lee,9052310,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01240,STANDARD,Lenox,BerkshireCounty,America/New_York,413,42.35,-73.28,NA,US,0,4020,Lenox,1018268,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01240,STANDARD,Lenox,BerkshireCounty,America/New_York,413,42.35,-73.28,NA,US,0,4020,Lenox,9052314,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01243,POBOX,Middlefield,HampshireCounty,America/New_York,413,42.35,-73.01,NA,US,0,0,Middlefield,1018303,Massachusetts,MA,"Springfield-Holyoke, MA",543
01245,STANDARD,Monterey,BerkshireCounty,America/New_York,413,42.18,-73.21,NA,US,0,682,Monterey,1018312,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01247,STANDARD,NorthAdams,BerkshireCounty,America/New_York,413,42.68,-73.11,NA,US,0,11730,NorthAdams,1018328,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01253,STANDARD,Otis,BerkshireCounty,America/New_York,413,42.19,-73.07,NA,US,0,778,Otis,1018355,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01254,STANDARD,Richmond,BerkshireCounty,America/New_York,413,42.37,-73.36,NA,US,0,1068,Richmond,1018378,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01255,STANDARD,Sandisfield,BerkshireCounty,America/New_York,413,42.11,-73.13,NA,US,0,572,Sandisfield,1018391,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01256,STANDARD,Savoy,BerkshireCounty,America/New_York,413,42.56,-73.02,NA,US,0,574,Savoy,1018394,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01257,STANDARD,Sheffield,BerkshireCounty,America/New_York,413,42.1,-73.34,NA,US,0,2018,Sheffield,1018398,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01258,STANDARD,SouthEgremont,BerkshireCounty,America/New_York,413,42.16,-73.41,NA,US,0,591,SouthEgremont,1018409,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01262,POBOX,Stockbridge,BerkshireCounty,America/New_York,413,42.3,-73.32,NA,US,0,1206,Stockbridge,1018423,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01263,UNIQUE,Stockbridge,BerkshireCounty,America/New_York,413,42.3,-73.32,NA,US,0,0,Stockbridge,1018423,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
01264,POBOX,Tyringham,BerkshireCounty,America/New_York,413,42.24,-73.19,NA,US,0,0,Tyringham,1018441,Massachusetts,MA,"Albany-Schenectady-Troy, NY",532
